Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude
Norway,44.086,17.0492221563211,4.2,27.5,23.1,60.472024
Pakistan,10.666,4.31277431133756,0.6,33.5,8.6,30.375321
Panama,95.718,8.10473107966757,2.2,49.9,22.7,8.537981
Papua New Guinea,0,3.44526925145617,?,41.9,21.3,-6.314993
Paraguay,1.542,6.43021500946081,1.3,48.8,20.3,-23.442503
Peru,179.032,8.08839279183076,1.5,43.3,19.7,-9.189967
Philippines,9.372,5.12256876829946,1,44.4,6.4,12.879721
Poland,31.865,17.5178167625452,6.5,31.8,23.1,51.919438
Portugal,146.616,21.9538575375873,3.4,35.5,20.8,39.399872
Romania,70.695,18.3387013938296,6.1,35.9,22.5,45.943161
Rwanda,0.154,2.9381960775388,?,43.7,5.8,-1.940278
Senegal,3.225,3.08682370101833,?,40.3,8.8,14.497401
Serbia,36.887,18.3457926916963,5.6,39.6,21.5,44.016521
Seychelles,0,7.59454560435034,3.6,46.8,14,-4.679574
Sierra Leone,6.268,2.96655621131612,?,34,8.7,8.460555
Slovenia,52.431,19.6068796541788,4.6,25.4,20.2,46.151241
South Africa,20.402,5.31800500542302,?,63,28.3,-30.559482
Spain,580.39,19.3785075224995,3.1,36.2,23.8,40.463667
Sri Lanka,0.514,10.4732197537841,?,39.8,5.2,7.873054
Sudan,8.871,3.58116052825144,0.8,35.4,6.6,12.862807
Suriname,3.409,6.90636990225525,?,57.6,26.4,3.919305
Sweden,474.787,20.0955249278002,2.7,29.2,20.6,60.128161
Switzerland,193.423,18.6232165647717,4.9,32.3,19.5,46.818188
Tajikistan,5.033,3.02188755207627,4.9,34,14.2,38.861034
Tanzania,0.352,2.60129917835952,?,37.8,8.4,-6.369028
Thailand,0.831,11.9008931395893,?,36.5,10,15.870032
Togo,1.57,2.86946801108822,0.7,43.1,8.4,8.619543
Trinidad and Tobago,5.716,10.7349535163324,?,40.3,18.6,10.691803
Tunisia,4.146,8.31567907898877,2.1,32.8,26.9,33.886917
Turkey,56.273,8.4832129399716,2.5,41.9,32.1,38.963745
Uganda,0,1.94098692046317,?,42.8,5.3,1.373333
Ukraine,19.047,16.4346864392016,9,25,24.1,48.379433
United Kingdom,605.839,18.3958656741466,2.9,33.2,27.8,55.378051
Uruguay,6.621,14.8145195308593,3,39.5,27.9,-32.522779
Uzbekistan,0.568,4.4191378781364,4.3,35.3,16.6,41.377491
Venezuela,0.809,7.26698662012597,0.9,46.9,25.6,6.42375
Vietnam,0,7.2749782978793,?,35.3,2.1,14.058324
Yemen,4.325,2.87626975604452,0.7,36.7,17.1,15.552727
Zambia,0.544,2.09967802593266,?,57.1,8.1,-13.133897
Zimbabwe,0.269,2.93952365300113,1.7,43.2,15.5,-19.015438
