Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,O+,A+,B+,AB+,O-,A-,B-,AB-
Lebanon,4.395,7.00236813439294,3.5,31.8,32,33.854721,38.40,32.30,9.50,3.20,7.70,6.50,1.70,0.70
Lithuania,27.183,19.7050331564608,7.4,37.4,26.3,55.169438,36.00,33.00,11.00,4.00,7.00,6.00,2.00,1.00
Malaysia,3.646,6.67175462547886,1.79,41,15.6,4.210484,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04
Malta,20.383,20.3493242997122,4.4,29.4,28.9,35.937496,38.00,41.00,7.00,3.00,5.00,4.50,1.00,0.50
Mauritania,13.119,3.14111215805009,?,32.6,12.7,21.00789,46.30,26.68,17.47,3.85,2.80,1.60,1.10,0.20
Mauritius,7.863,11.4741730686522,3.4,38.5,10.8,-20.348404,38.30,26.00,25.00,6.70,1.70,1.00,1.00,0.30
Mexico,119.109,7.22368498087198,1.5,48.3,28.9,23.634501,59.09,26.23,8.53,1.73,2.73,1.21,0.40,0.08
Moldova,91.969,11.4695563413512,6.2,25.9,18.9,47.411631,28.50,31.80,17.60,7.00,5.00,6.00,3.00,1.10
Mongolia,0,4.08353878726245,6.75,32.3,20.6,46.862496,55.40,27.70,10.90,4.96,0.60,0.30,0.10,0.04
Morocco,5.689,7.0129048211122,0.9,39.5,26.1,31.791702,42.30,29.80,14.30,4.10,4.50,3.10,1.50,0.40
Nepal,0.515,5.72767077569198,?,32.8,4.1,28.394857,35.20,28.30,27.10,8.60,0.30,0.20,0.20,0.10
Netherlands,352.614,19.1961926333387,?,28.2,20.4,52.132633,39.50,35.00,6.70,2.50,7.50,7.00,1.30,0.50
Nigeria,1.853,2.74737700532743,?,43,8.9,9.081999,51.30,22.40,20.70,2.60,1.60,0.70,0.60,0.10
Norway,44.086,17.0492221563211,4.2,27.5,23.1,60.472024,33.20,41.60,6.80,3.40,5.80,7.40,1.20,0.60
Pakistan,10.666,4.31277431133756,0.6,33.5,8.6,30.375321,26.63,21.60,34.40,9.52,2.17,1.66,3.57,0.45
Papua New Guinea,0,3.44526925145617,?,41.9,21.3,-6.314993,48.00,37.20,9.60,2.80,1.00,0.80,0.40,0.20
Peru,179.032,8.08839279183076,1.5,43.3,19.7,-9.189967,70.00,18.40,7.80,1.60,1.40,0.50,0.28,0.02
Philippines,9.372,5.12256876829946,1,44.4,6.4,12.879721,45.90,22.90,24.90,5.97,0.10,0.10,0.10,0.03
Poland,31.865,17.5178167625452,6.5,31.8,23.1,51.919438,31.00,32.00,15.00,7.00,6.00,6.00,2.00,1.00
Portugal,146.616,21.9538575375873,3.4,35.5,20.8,39.399872,36.20,39.80,6.60,2.90,6.10,6.80,1.10,0.50
Romania,70.695,18.3387013938296,6.1,35.9,22.5,45.943161,28.00,36.50,13.60,6.80,5.00,6.50,2.40,1.20
Serbia,36.887,18.3457926916963,5.6,39.6,21.5,44.016521,31.92,35.28,12.60,4.20,6.08,6.72,2.40,0.80
Slovenia,52.431,19.6068796541788,4.6,25.4,20.2,46.151241,31.00,33.00,12.00,6.00,7.00,7.00,3.00,1.00
South Africa,20.402,5.31800500542302,?,63,28.3,-30.559482,39.00,32.00,12.00,3.00,6.00,5.00,2.00,1.00
Spain,580.39,19.3785075224995,3.1,36.2,23.8,40.463667,35.00,36.00,8.00,2.50,9.00,7.00,2.00,0.50
Sudan,8.871,3.58116052825144,0.8,35.4,6.6,12.862807,48.00,27.70,15.20,2.80,3.50,1.80,0.80,0.20
Sweden,474.787,20.0955249278002,2.7,29.2,20.6,60.128161,32.00,37.00,10.00,5.00,6.00,7.00,2.00,1.00
Switzerland,193.423,18.6232165647717,4.9,32.3,19.5,46.818188,35.00,38.00,8.00,4.00,6.00,7.00,1.00,1.00
Thailand,0.831,11.9008931395893,?,36.5,10,15.870032,40.80,16.90,36.80,4.97,0.20,0.10,0.20,0.03
Turkey,56.273,8.4832129399716,2.5,41.9,32.1,38.963745,29.80,37.80,14.20,7.20,3.90,4.70,1.60,0.80
Uganda,0,1.94098692046317,?,42.8,5.3,1.373333,43.70,39.00,10.70,3.90,1.30,1.00,0.30,0.10
Ukraine,19.047,16.4346864392016,9,25,24.1,48.379433,32.00,34.00,15.00,5.00,5.00,6.00,2.00,1.00
United Kingdom,605.839,18.3958656741466,2.9,33.2,27.8,55.378051,38.00,32.00,8.00,3.00,9.00,7.00,2.00,1.00
Venezuela,0.809,7.26698662012597,0.9,46.9,25.6,6.42375,58.30,28.20,5.60,1.90,3.70,1.80,0.40,0.10
Vietnam,0,7.2749782978793,?,35.3,2.1,14.058324,41.70,21.90,30.80,4.98,0.30,0.10,0.20,0.02
Yemen,4.325,2.87626975604452,0.7,36.7,17.1,15.552727,47.84,27.50,15.32,2.14,3.66,2.10,1.17,0.16
Zimbabwe,0.269,2.93952365300113,1.7,43.2,15.5,-19.015438,63.30,18.50,14.60,0.99,1.70,0.50,0.40,0.01
