Country,1950,1955,1950-55%,1960,1955-60%,1965,1960-65%,1970,1965-70%,1975,1970-75%,1980,1975-80%,1985,19880-85%,1990,1985-90%,1995,1990-95%,2000,1995-2000%,2005,2000-05%,2010,2005-10%,2015,2010-15%
   Nepal,8990,9480,1.07,10035,1.15,10863,1.6,11919,1.87,13156,1.99,14666,2.2,16570,2.47,18919,2.69,21877,2.95,24819,2.56,27094,1.77,28952,1.34,31552,1.73
 Netherlands,10121,10759,1.23,11494,1.33,12302,1.37,13043,1.18,13665,0.94,14156,0.71,14505,0.49,14966,0.63,15477,0.67,15931,0.58,16300,0.46,16574,0.33,16948,0.45
 New Caledonia,56,65,3.36,79,3.94,91,2.77,113,4.39,134,3.5,140,0.94,153,1.82,169,2.05,192,2.57,212,1.95,233,1.93,253,1.66,272,1.48
 New Zealand,1909,2137,2.28,2372,2.11,2641,2.17,2829,1.38,3118,1.97,3171,0.33,3324,0.95,3414,0.53,3643,1.3,3803,0.86,4049,1.26,4253,0.99,4439,0.86
 Nicaragua,1098,1278,3.07,1493,3.17,1751,3.24,2053,3.24,2395,3.13,2804,3.2,3181,2.56,3644,2.76,4402,3.85,4867,2.03,5268,1.6,5605,1.25,5908,1.06
 Niger,3272,3560,1.7,3913,1.91,4344,2.11,4841,2.19,5420,2.28,6094,2.37,6870,2.43,7826,2.64,9111,3.09,10726,3.32,12783,3.57,15271,3.62,18046,3.4
 Nigeria,31797,35955,2.49,41551,2.94,48068,2.96,55591,2.95,64428,2.99,74829,3.04,84898,2.56,96685,2.63,109753,2.57,123946,2.46,141190,2.64,160342,2.58,181563,2.52
 Northern Mariana Islands,7,8,3.52,9,3.47,11,3.38,13,3.38,15,3.86,17,2.49,22,4.83,45,15.54,58,5.38,70,4.02,71,0.27,54,-5.4,53,-0.44
 North Korea,9472,8864,-1.32,10448,3.34,11965,2.75,14062,3.28,16015,2.63,17391,1.66,18831,1.6,20452,1.67,22108,1.57,22785,0.61,23621,0.72,24326,0.59,24984,0.53
 North Macedonia,1225,1341,1.82,1367,0.39,1470,1.47,1575,1.39,1685,1.35,1793,1.25,1845,0.58,1862,0.18,1955,0.98,2015,0.61,2046,0.3,2073,0.26,2097,0.23
 Norway,3266,3428,0.97,3582,0.88,3724,0.78,3878,0.82,4008,0.66,4086,0.39,4153,0.32,4243,0.43,4360,0.55,4493,0.6,4625,0.58,4892,1.13,5208,1.26
 Oman,489,540,2.02,602,2.17,682,2.55,784,2.81,921,3.28,1186,5.2,1498,4.78,1795,3.69,2139,3.57,2433,2.61,2697,2.09,2968,1.93,3287,2.06
 Pakistan,40383,45536,2.43,51719,2.58,59047,2.69,67492,2.71,76457,2.53,85220,2.19,102079,3.68,118817,3.08,134186,2.46,152430,2.58,169279,2.12,184405,1.73,199086,1.54
 Palau,8,9,2.72,10,2.72,11,2.72,13,2.06,13,1.35,14,0.73,14,0.73,16,1.95,18,2.61,20,2.41,21,0.84,21,0.54,22,0.37
 Palestine,1018,1055,0.72,1115,1.11,1212,1.68,1033,-3.15,1201,3.06,1361,2.53,1578,3,1899,3.77,2508,5.72,3111,4.4,3599,2.96,4120,2.74,4656,2.48
 Panama,893,1011,2.52,1148,2.57,1326,2.93,1532,2.92,1750,2.7,1960,2.3,2168,2.04,2394,2,2639,1.97,2900,1.91,3156,1.7,3411,1.57,3658,1.4
 Papua New Guinea,1413,1546,1.81,1719,2.15,1941,2.46,2214,2.67,2505,2.5,2847,2.6,3229,2.55,3683,2.67,4216,2.74,4813,2.68,5440,2.48,6065,2.2,6673,1.93
 Paraguay,1476,1684,2.67,1910,2.55,2171,2.59,2477,2.68,2849,2.83,3172,2.17,3634,2.76,4201,2.94,4826,2.81,5419,2.34,5926,1.81,6376,1.48,6784,1.25
 Peru,7633,8672,2.59,9932,2.75,11468,2.92,13193,2.84,15162,2.82,17296,2.67,19380,2.3,21565,2.16,23864,2.05,25797,1.57,27443,1.24,28948,1.07,30445,1.01
 Philippines,21132,24336,2.86,28026,2.86,32391,2.94,37253,2.84,42406,2.63,48290,2.63,54589,2.48,61481,2.41,68472,2.18,76452,2.23,84965,2.13,93137,1.85,100999,1.63
 Poland,24825,27221,1.86,29590,1.68,31263,1.11,32527,0.8,33970,0.87,35579,0.93,37226,0.91,38120,0.48,38601,0.25,38655,0.03,38557,-0.05,38617,0.03,38563,-0.03
 Portugal,8443,8693,0.58,9037,0.78,9129,0.2,9045,-0.19,9412,0.8,9778,0.77,9898,0.24,9923,0.05,10066,0.29,10336,0.53,10567,0.44,10736,0.32,10826,0.17
 Puerto Rico,2219,2251,0.29,2359,0.94,2597,1.95,2722,0.94,2936,1.52,3210,1.8,3383,1.05,3537,0.9,3684,0.81,3811,0.68,3822,0.06,3722,-0.53,3599,-0.67
 Qatar,26,36,6.94,46,5.13,71,9.21,113,9.99,165,7.85,230,6.85,343,8.37,434,4.83,510,3.3,640,4.65,973,8.73,1720,12.07,2195,5
 Republic of the Congo,827,904,1.81,1003,2.09,1124,2.32,1273,2.52,1456,2.72,1676,2.86,1927,2.83,2221,2.89,2570,2.95,2940,2.73,3473,3.39,4238,4.06,4756,2.33
 Romania,16312,17326,1.21,18404,1.22,19028,0.67,20253,1.26,21246,0.96,22131,0.82,22522,0.35,22866,0.3,22688,-0.16,22448,-0.21,22198,-0.22,21960,-0.22,21667,-0.27
 Russia,101937,111126,1.74,119632,1.49,126542,1.13,130246,0.58,134294,0.61,139039,0.7,143938,0.69,147973,0.55,148759,0.11,147054,-0.23,143320,-0.51,142527,-0.11,142424,-0.01
 Rwanda,2440,2699,2.04,3032,2.36,3265,1.49,3770,2.92,4357,2.94,5140,3.36,5987,3.1,7000,3.18,5473,-4.8,8399,8.94,9612,2.73,11056,2.84,12662,2.75
 Saint Barthélemy,3,3,0.62,3,0.63,3,1.12,3,1,3,1.05,3,2.9,4,6.17,6,5.11,7,4.02,8,2.99,8,1.26,8,-0.47,8,-0.46
 Saint Helena,6,6,0.05,6,0.21,6,0.24,6,1.07,7,1.33,7,1.3,8,4.19,7,-3.4,7,0.78,8,0.8,8,0.68,8,0.51,8,0.32
 Saint Kitts and Nevis,45,50,2.31,52,0.56,49,-0.87,47,-1.17,45,-0.62,44,-0.51,43,-0.3,42,-0.6,44,0.7,46,1.14,48,0.97,50,0.82,52,0.8
 Saint Lucia,80,86,1.66,88,0.43,95,1.42,103,1.77,113,1.82,123,1.73,132,1.36,138,0.98,147,1.27,154,0.91,158,0.53,161,0.45,164,0.37
 Saint Martin,3,4,4.07,5,4.08,5,2.5,6,2.4,7,2.91,8,3.8,16,15.22,31,14.31,33,1.72,29,-2.8,28,-0.34,31,1.62,32,0.99
 Saint Pierre and Miquelon,5,5,0.4,5,0.98,6,0.63,6,1.52,6,1.41,6,0.4,7,0.56,7,0.52,7,0.26,7,0.02,7,-0.66,6,-0.84,6,-0.98
 Saint Vincent and the Grenadines,67,76,2.58,82,1.43,86,0.98,88,0.57,93,1.06,99,1.25,104,1.14,108,0.67,109,0.26,108,-0.17,107,-0.33,105,-0.35,103,-0.31
 Samoa,82,94,2.77,111,3.23,128,2.93,143,2.28,151,1.17,160,1.06,161,0.21,163,0.26,169,0.73,177,0.85,185,0.92,193,0.8,198,0.59
 San Marino,13,14,1.59,16,2.19,18,2.49,20,1.96,20,0.57,22,1.69,23,1.03,24,0.77,25,1.18,28,1.71,30,1.8,32,1.23,34,0.96
 São Tomé and Príncipe,60,61,0.17,64,1.03,69,1.62,74,1.4,82,2.08,95,2.88,105,2.06,116,2.16,128,1.86,141,2.05,158,2.29,176,2.22,195,1.99
 Saudi Arabia,3860,4244,1.91,4719,2.15,5328,2.46,6110,2.78,7208,3.36,10022,6.81,13331,5.87,16061,3.8,18756,3.15,21312,2.59,23643,2.1,25732,1.71,27753,1.52
 Senegal,2654,2927,1.98,3270,2.24,3744,2.75,4318,2.89,4990,2.93,5612,2.38,6379,2.6,7348,2.87,8379,2.66,9470,2.48,10805,2.67,12324,2.67,13976,2.55
 Serbia,5957,6314,1.17,6659,1.07,6959,0.88,7249,0.82,7432,0.5,7588,0.42,7720,0.35,7787,0.17,7692,-0.25,7605,-0.23,7503,-0.27,7345,-0.42,7177,-0.46
 Seychelles,33,36,1.74,42,3.04,48,2.78,55,2.52,60,1.96,64,1.41,68,0.99,71,1.06,75,1.14,80,1.1,84,1.17,89,1.04,93,0.91
 Sierra Leone,2088,2233,1.36,2397,1.43,2582,1.5,2790,1.56,3031,1.67,3336,1.93,3704,2.12,4229,2.69,3882,-1.7,3810,-0.38,4709,4.33,5246,2.19,5880,2.31
 Singapore,1023,1306,5.02,1647,4.75,1887,2.76,2075,1.91,2263,1.75,2414,1.3,2750,2.64,3048,2.07,3567,3.2,4064,2.64,4606,2.54,5141,2.22,5675,2
 Sint Maarten,3,3,1.73,3,1.72,5,8.64,7,9.63,11,9.89,13,3.64,20,9.24,30,8.68,32,1.74,31,-0.73,34,1.81,38,2.38,41,1.54
 Slovakia,3464,3727,1.48,3995,1.4,4370,1.81,4524,0.69,4730,0.89,4966,0.98,5145,0.71,5263,0.45,5362,0.37,5401,0.14,5408,0.03,5427,0.07,5446,0.07
 Slovenia,1468,1518,0.67,1558,0.53,1621,0.79,1676,0.68,1723,0.55,1834,1.26,1915,0.87,1992,0.79,2003,0.12,2011,0.08,2012,0.01,2004,-0.08,1984,-0.2
 Solomon Islands,107,115,1.43,127,1.99,144,2.5,164,2.65,194,3.44,231,3.64,273,3.41,322,3.31,376,3.15,434,2.95,496,2.71,560,2.44,623,2.17
 Somalia,2438,2674,1.86,2956,2.03,3283,2.12,3667,2.24,4128,2.4,5794,7.02,6459,2.2,6693,0.71,6401,-0.89,7501,3.22,8791,3.22,9768,2.13,10617,1.68
 South Africa,13596,15369,2.48,17417,2.53,19899,2.7,22740,2.71,25816,2.57,29252,2.53,34255,3.21,38504,2.37,42148,1.82,44914,1.28,48105,1.38,51123,1.22,53676,0.98
 South Korea,20846,21552,0.67,24785,2.83,28706,2.98,32242,2.35,35282,1.82,38125,1.56,40807,1.37,42870,0.99,45106,1.02,46839,0.76,48006,0.49,48637,0.26,49116,0.2
 South Sudan,2707,2757,0.37,2809,0.37,2862,0.37,2915,0.37,3396,3.1,4668,6.57,5320,2.65,4960,-1.39,5193,0.92,6297,3.93,7634,3.93,9585,4.66,12043,4.67
 Spain,28063,29319,0.88,30642,0.89,32085,0.92,33877,1.09,35564,0.98,37489,1.06,38535,0.55,39351,0.42,39765,0.21,40590,0.41,43705,1.49,46506,1.25,48147,0.7
 Sri Lanka,7534,8694,2.91,9914,2.66,11261,2.58,12619,2.3,13780,1.78,15056,1.79,15848,1.03,16862,1.25,17942,1.25,19042,1.2,20103,1.09,21084,0.96,22054,0.9
 Sudan,6468,7391,2.71,8447,2.71,9653,2.71,11031,2.71,12708,2.87,14784,3.07,17507,3.44,21130,3.83,24517,3.02,27068,2,29884,2,32997,2,36109,1.82
 Suriname,209,241,2.93,285,3.41,337,3.42,373,2.06,363,-0.52,355,-0.48,395,2.18,417,1.07,428,0.55,465,1.64,504,1.65,546,1.62,580,1.21
 Sweden,7015,7263,0.7,7481,0.59,7734,0.67,8043,0.79,8193,0.37,8311,0.29,8357,0.11,8601,0.58,8878,0.64,8925,0.1,9083,0.35,9433,0.76,9802,0.77
  Switzerland,4695,4981,1.19,5363,1.49,5944,2.08,6268,1.07,6404,0.43,6386,-0.06,6568,0.56,6844,0.83,7165,0.92,7278,0.31,7449,0.47,7770,0.85,8122,0.89
 Syria,3496,3938,2.41,4531,2.84,5323,3.27,6253,3.27,7398,3.42,8740,3.39,10479,3.7,12534,3.65,14487,2.94,16515,2.65,18615,2.42,21766,3.18,17065,-4.75
 Taiwan,7982,9486,3.51,11210,3.39,12978,2.97,14599,2.38,16123,2.01,17849,2.06,19338,1.62,20279,0.95,21291,0.98,22185,0.83,22728,0.48,23127,0.35,23416,0.25
 Tajikistan,1531,1781,3.08,2081,3.16,2511,3.83,2939,3.2,3449,3.25,3967,2.84,4569,2.87,5273,2.91,5679,1.49,6230,1.87,6815,1.81,7488,1.9,8192,1.81
 Tanzania,7935,8971,2.48,10260,2.72,11871,2.96,13807,3.07,16148,3.18,18654,2.93,21485,2.87,24805,2.92,29065,3.22,33194,2.69,38487,3,44289,2.85,51046,2.88
 Thailand,20042,23452,3.19,27513,3.25,32062,3.11,37091,2.96,42273,2.65,47026,2.15,51759,1.94,56097,1.62,59818,1.29,62902,1.01,65113,0.69,66721,0.49,67977,0.37
 Timor-Leste,436,473,1.63,509,1.51,554,1.69,598,1.55,677,2.51,558,-3.81,649,3.09,740,2.66,868,3.24,768,-2.43,985,5.11,1088,2.02,1232,2.51
 Togo,1172,1299,2.07,1456,2.32,1648,2.51,1965,3.57,2267,2.91,2626,2.98,3130,3.57,3721,3.52,4203,2.47,4992,3.5,5715,2.74,6588,2.88,7553,2.77
 Tonga,46,55,3.55,64,3.19,75,3.08,84,2.3,90,1.43,92,0.58,95,0.55,97,0.39,98,0.24,101,0.55,104,0.63,106,0.45,107,0.16
 Trinidad and Tobago,633,721,2.66,842,3.14,940,2.23,956,0.33,1007,1.06,1091,1.61,1190,1.74,1256,1.09,1265,0.14,1252,-0.2,1237,-0.24,1229,-0.13,1223,-0.1
 Tunisia,3518,3847,1.8,4150,1.53,4566,1.93,5099,2.23,5704,2.27,6444,2.47,7364,2.71,8208,2.19,8947,1.74,9508,1.22,10013,1.04,10526,1,11038,0.95
 Turkey,21122,24145,2.71,28218,3.17,31951,2.52,35759,2.28,40530,2.54,45048,2.14,50989,2.51,56545,2.09,61296,1.63,65970,1.48,70465,1.33,74687,1.17,79415,1.24
 Turkmenistan,1205,1348,2.28,1585,3.29,1883,3.5,2182,2.99,2524,2.96,2876,2.64,3241,2.42,3659,2.46,4079,2.2,4386,1.46,4665,1.24,4941,1.16,5232,1.15
 Turks and Caicos Islands,6,6,0.49,6,2.1,6,0.15,6,-0.53,7,2.86,8,2.91,10,4.53,12,4.33,15,5.35,20,5.22,28,7.44,44,9.39,51,3.08
 Tuvalu,5,5,1.19,6,1.19,6,1.14,6,0.86,7,1.33,8,3.72,9,1.81,10,2.37,10,1.22,11,0.59,11,0.26,11,0.59,11,0.75
 Uganda,5522,6318,2.73,7262,2.83,8390,2.93,9716,2.98,10761,2.06,12020,2.24,13811,2.82,16549,3.68,19641,3.48,22917,3.13,26917,3.27,31508,3.2,37102,3.32
 Ukraine,36775,39369,1.37,42645,1.61,45235,1.19,47236,0.87,48974,0.73,50047,0.43,50945,0.36,51623,0.26,51248,-0.15,49014,-0.89,47003,-0.83,45769,-0.53,44430,-0.59
 United Arab Emirates,72,83,2.95,104,4.49,144,6.89,250,11.64,523,15.95,1001,13.87,1364,6.39,1827,6.02,2458,6.12,3220,5.54,4087,4.89,4976,4.02,5780,3.04
 United Kingdom,50128,50947,0.32,52373,0.55,54351,0.74,55633,0.47,56216,0.21,56315,0.04,56585,0.1,57411,0.29,58187,0.27,59140,0.33,60488,0.45,62349,0.61,64089,0.55
 United States,151869,165070,1.68,179980,1.74,193527,1.46,203985,1.06,215466,1.1,227225,1.07,237924,0.92,249623,0.96,266279,1.3,282163,1.17,295517,0.93,309348,0.92,321369,0.77
 United States Virgin Islands,27,28,0.52,33,3.32,44,6,64,7.85,95,8.28,100,1.07,101,0.22,104,0.63,108,0.73,109,0.15,108,-0.14,107,-0.3,104,-0.51
 Uruguay,2195,2354,1.41,2531,1.47,2694,1.25,2824,0.95,2844,0.14,2931,0.6,3019,0.6,3086,0.44,3151,0.42,3220,0.44,3265,0.28,3302,0.22,3342,0.25
 Uzbekistan,6293,7233,2.82,8532,3.36,10206,3.65,11941,3.19,13988,3.22,15994,2.72,18216,2.64,20531,2.42,23068,2.36,25042,1.66,26540,1.17,27866,0.98,29200,0.94
 Vanuatu,53,59,2.43,67,2.43,75,2.34,86,2.85,100,3.14,117,3.22,135,2.9,154,2.69,173,2.31,192,2.1,218,2.62,246,2.4,273,2.11
 Venezuela,5010,6171,4.26,7557,4.14,9068,3.71,10759,3.48,12675,3.33,14768,3.1,16998,2.85,19326,2.6,21550,2.2,23493,1.74,25270,1.47,27224,1.5,29276,1.46
 Vietnam,25349,27739,1.82,31657,2.68,37259,3.31,42577,2.7,48076,2.46,53716,2.24,60094,2.27,67259,2.28,73784,1.87,79178,1.42,84425,1.29,89572,1.19,94349,1.04
 Wallis and Futuna,7,8,1.26,8,1.26,9,1.02,9,0.95,9,0.23,11,4.18,14,3.78,14,0.72,15,0.79,15,0.91,16,0.58,16,0.33,16,0.35
Western Sahara,10,16,11.87,28,11.87,50,12.33,90,12.38,73,-4.16,125,11.47,180,7.65,218,3.92,264,3.95,337,4.97,416,4.32,492,3.42,571,3.04
World,2557629,2782099,1.7,3043002,1.81,3350426,1.94,3712698,2.07,4089084,1.95,4451363,1.71,4856463,1.76,5288956,1.72,5699203,1.51,6088572,1.33,6473045,1.23,6866333,1.19,7256491,1.11
 Yemen,4778,5266,1.97,5872,2.2,6511,2.09,7099,1.74,7935,2.25,9133,2.85,10540,2.91,12417,3.33,14832,3.62,17236,3.05,20003,3.02,23210,3.02,26738,2.87
 Zambia,2554,2870,2.36,3255,2.55,3695,2.57,4241,2.8,4849,2.71,5541,2.71,6536,3.36,7604,3.07,8691,2.71,9984,2.81,11373,2.64,13042,2.78,15067,2.93
 Zimbabwe,2854,3410,3.62,4011,3.31,4686,3.16,5515,3.31,6342,2.83,7170,2.49,8561,3.61,10157,3.48,11160,1.9,11821,1.16,11640,-0.31,11652,0.02,14230,4.08
