Country,1950,1955,1950-55%,1960,1955-60%,1965,1960-65%,1970,1965-70%,1975,1970-75%,1980,1975-80%,1985,19880-85%,1990,1985-90%,1995,1990-95%,2000,1995-2000%,2005,2000-05%,2010,2005-10%,2015,2010-15%
 Burundi,2363,2577,1.75,2816,1.79,3171,2.41,3522,2.12,3677,0.86,4298,3.17,4915,2.72,5509,2.31,5800,1.03,6716,2.98,7789,3.01,9121,3.21,10743,3.33
 Cambodia,4472,5049,2.46,5762,2.68,6602,2.76,7395,2.29,7500,0.28,6889,-1.69,7842,2.62,9368,3.62,11235,3.7,12352,1.91,13298,1.49,14454,1.68,15709,1.68
 Cameroon,4888,5211,1.29,5609,1.48,6104,1.71,6727,1.96,7522,2.26,8756,3.09,10227,3.15,11984,3.22,13828,2.9,15818,2.73,18132,2.77,20823,2.81,23740,2.66
 Canada,14012,16051,2.75,18267,2.62,20072,1.9,21750,1.62,23210,1.31,24594,1.17,25942,1.07,27791,1.39,29691,1.33,31100,0.93,32387,0.81,33760,0.83,35100,0.78
 Cape Verde,147,170,2.93,197,3.07,232,3.32,269,3.02,281,0.85,297,1.12,317,1.34,340,1.4,386,2.55,431,2.22,471,1.81,509,1.57,546,1.43
 Cayman Islands,7,7,2.04,8,1.95,9,2.37,11,3.17,15,7.03,18,3.85,21,4.06,27,4.8,33,4.27,39,3.42,45,2.9,51,2.52,57,2.24
 Central African Republic,1260,1349,1.37,1468,1.71,1628,2.09,1840,2.48,2058,2.27,2349,2.68,2715,2.93,3085,2.59,3545,2.82,3980,2.34,4364,1.86,4845,2.12,5392,2.16
 Chad,2608,2806,1.47,3043,1.64,3345,1.91,3728,2.19,4145,2.14,4523,1.76,5067,2.3,5842,2.89,6770,2.99,7943,3.25,9401,3.43,10544,2.32,11632,1.98
 Chile,6091,6744,2.06,7586,2.38,8510,2.33,9369,1.94,10208,1.73,10999,1.5,11953,1.68,13008,1.71,14173,1.73,15175,1.38,15980,1.04,16760,0.96,17509,0.88
 China,562580,607047,1.53,651340,1.42,716667,1.93,822116,2.78,920295,2.28,987822,1.43,1061876,1.46,1153164,1.66,1221056,1.15,1268302,0.76,1302285,0.53,1336681,0.52,1367486,0.46
 Colombia,11592,13589,3.23,15953,3.26,18647,3.17,21430,2.82,24125,2.4,26632,2,29748,2.24,33148,2.19,36532,1.96,38911,1.27,41488,1.29,44206,1.28,46737,1.12
 Comoros,149,164,2.03,183,2.24,207,2.44,237,2.81,276,3.07,340,4.27,383,2.42,431,2.37,483,2.32,546,2.46,624,2.71,707,2.53,781,2.04
 Cook Islands,15,17,2.18,18,1.95,20,1.3,21,1.78,20,-1.58,19,-1.3,18,-0.58,19,1.01,19,-0.09,17,-2.29,14,-3.57,12,-3.31,10,-3.05
 Costa Rica,867,1032,3.54,1249,3.88,1488,3.57,1736,3.13,1992,2.79,2300,2.91,2645,2.84,3024,2.71,3445,2.64,3883,2.42,4209,1.63,4517,1.42,4815,1.29
 Croatia,3838,3956,0.61,4037,0.4,4134,0.48,4206,0.35,4256,0.23,4384,0.59,4458,0.34,4509,0.23,4497,-0.05,4411,-0.38,4496,0.38,4487,-0.04,4465,-0.1
 Cuba,5785,6382,1.98,7028,1.95,7810,2.13,8543,1.81,9291,1.69,9653,0.77,10065,0.84,10507,0.86,10848,0.64,11072,0.41,11199,0.23,11099,-0.18,11032,-0.12
 Curaçao,102,112,2.04,124,2.04,134,1.59,145,1.56,150,0.6,148,-0.16,154,0.77,146,-1.1,142,-0.53,134,-1.1,137,0.31,144,1.06,149,0.69
 Cyprus,495,533,1.52,579,1.68,601,0.72,628,0.9,627,-0.03,631,0.12,680,1.51,746,1.87,848,2.61,920,1.65,1011,1.91,1103,1.76,1190,1.52
 Czech Republic,8926,9366,0.97,9660,0.62,9777,0.24,9796,0.04,10043,0.5,10289,0.49,10311,0.04,10310,0,10324,0.03,10269,-0.11,10267,0,10551,0.55,10645,0.18
 Democratic Republic of the Congo,13569,14953,1.96,16611,2.13,18856,2.57,21781,2.93,25033,2.82,29011,2.99,33348,2.83,39152,3.26,46705,3.59,52446,2.35,60699,2.97,69852,2.85,79376,2.59
 Denmark,4272,4440,0.77,4582,0.63,4759,0.76,4929,0.71,5060,0.53,5124,0.25,5114,-0.04,5141,0.11,5233,0.35,5338,0.4,5433,0.35,5516,0.3,5582,0.24
 Djibouti,80,91,2.67,112,4.26,143,5,180,4.83,227,4.72,327,7.61,383,3.18,500,5.49,554,2.07,670,3.89,667,-0.09,741,2.13,829,2.27
 Dominica,52,57,1.93,60,1.13,64,1.29,70,1.81,74,1.16,74,-0.01,74,-0.21,71,-0.86,72,0.4,71,-0.17,73,0.37,73,0.19,74,0.22
 Dominican Republic,2353,2738,3.07,3232,3.38,3806,3.33,4423,3.05,5049,2.68,5697,2.45,6379,2.29,7084,2.12,7759,1.84,8469,1.77,9165,1.59,9824,1.4,10479,1.3
 Ecuador,3370,3843,2.66,4416,2.82,5118,2.99,5940,3.02,6872,2.96,7921,2.88,9062,2.73,10319,2.63,11266,1.77,12446,2.01,13663,1.88,14791,1.6,15869,1.42
 Egypt,21198,23856,2.39,26847,2.39,30266,2.43,33575,2.1,36953,1.94,42635,2.9,50053,3.26,54908,1.87,58946,1.43,65159,2.02,72544,2.17,80472,2.1,88488,1.92
 El Salvador,1940,2222,2.75,2582,3.05,3018,3.17,3604,3.61,4073,2.48,4571,2.33,4672,0.44,5110,1.81,5480,1.41,5850,1.32,5957,0.36,6053,0.32,6142,0.29
 Equatorial Guinea,212,226,1.35,244,1.54,253,0.72,271,1.36,214,-4.64,257,3.72,326,4.9,372,2.68,427,2.81,492,2.89,568,2.91,651,2.78,741,2.63
 Eritrea,1403,1499,1.34,1615,1.5,1747,1.58,2161,4.35,2422,2.3,2569,1.19,2942,2.75,3138,1.3,3566,2.58,4198,3.32,5070,3.85,5793,2.7,6528,2.42
 Estonia,1096,1155,1.05,1211,0.96,1288,1.24,1364,1.14,1433,0.99,1483,0.69,1539,0.74,1570,0.4,1447,-1.62,1380,-0.94,1332,-0.71,1303,-0.44,1266,-0.58
 Eswatini,278,312,2.34,352,2.48,400,2.57,456,2.64,521,2.73,612,3.26,722,3.37,882,4.09,1004,2.63,1144,2.65,1259,1.94,1355,1.47,1436,1.18
 Ethiopia,20175,21991,1.74,24169,1.91,26741,2.04,29469,1.96,32976,2.27,36037,1.79,40684,2.46,47555,3.17,55726,3.22,64366,2.92,74355,2.93,86043,2.96,99466,2.94
 Faroe Islands,32,33,0.69,35,1.26,38,1.29,39,0.85,41,1.13,44,1.26,46,0.96,48,0.81,44,-1.7,46,1.02,49,1.07,50,0.31,51,0.46
 Federated States of Micronesia,31,36,3.12,42,3.12,49,3.12,57,3.12,67,3.11,78,3.08,91,3.29,109,3.68,106,-0.49,108,0.33,109,0.07,108,-0.17,106,-0.36
 Fiji,288,333,2.94,394,3.44,464,3.33,522,2.37,577,2.03,635,1.95,699,1.95,740,1.14,773,0.87,805,0.83,837,0.77,876,0.93,910,0.75
 Finland,4009,4235,1.1,4430,0.9,4564,0.6,4607,0.19,4712,0.45,4780,0.29,4902,0.51,4987,0.34,5105,0.47,5169,0.25,5239,0.27,5355,0.44,5477,0.45
 France,42540,44243,0.79,46612,1.05,49834,1.35,51955,0.84,53998,0.77,55164,0.43,56561,0.5,58256,0.59,59824,0.53,61256,0.47,63060,0.58,64941,0.59,66554,0.49
 French Polynesia,63,72,2.97,82,2.44,95,3.15,115,3.78,134,3.15,151,2.54,176,3.06,200,2.61,217,1.68,236,1.7,254,1.47,269,1.16,283,1.01
 Gabon,416,429,0.62,447,0.79,475,1.24,515,1.64,648,4.7,714,1.97,834,3.14,939,2.4,1070,2.65,1237,2.95,1396,2.45,1546,2.06,1706,1.99
 Gambia,272,307,2.46,352,2.81,412,3.2,485,3.3,566,3.14,653,2.9,773,3.44,952,4.25,1162,4.08,1357,3.15,1548,2.67,1756,2.55,1968,2.31
 Georgia,3516,3828,1.71,4147,1.62,4465,1.49,4695,1.01,4898,0.85,5046,0.6,5193,0.58,5432,0.9,5042,-1.48,4819,-0.9,4791,-0.12,4903,0.47,4932,0.12
 Germany,68375,70196,0.53,72481,0.64,75639,0.86,77784,0.56,78683,0.23,78298,-0.1,77685,-0.16,79381,0.43,81654,0.57,82184,0.13,82440,0.06,81645,-0.19,80855,-0.19
 Ghana,5298,6049,2.69,6959,2.84,8010,2.85,8789,1.87,10100,2.82,11153,2,13573,4.01,15549,2.76,17322,2.18,18982,1.85,21107,2.15,23572,2.23,26328,2.24
