Country,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Democratic Republic of Congo,93.813,0.882,2.155,0.011,89561404,35.879,3.02,1.745,808.133,318.949,6.1,4.472,?,60.68
Denmark,2274.264,0,105.487,0,5792203,136.52,19.677,12.325,46682.515,114.767,6.41,?,2.5,80.9
Djibouti,5071.852,8.097,56.68,0,988002,41.285,4.213,2.38,2705.406,258.037,6.05,?,1.4,67.11
Dominica,250.031,0,0,0,71991,98.567,?,?,9673.367,227.376,11.62,?,3.8,75
Dominican Republic,4872.37,123.157,90.432,0.922,10847904,222.873,6.981,4.419,14600.861,266.653,8.2,55.182,1.6,74.08
Ecuador,4195.021,35.765,301.138,1.757,17643060,66.939,7.104,4.458,10581.936,140.448,5.55,80.635,1.5,77.01
Egypt,857.727,5.892,42.039,0.498,102334403,97.999,5.159,2.891,10550.206,525.432,17.31,89.827,1.6,71.99
El Salvador,1826.339,52.111,53.036,3.083,6486201,307.811,8.273,5.417,7292.458,167.295,8.87,90.65,1.3,73.32
Equatorial Guinea,2188.904,0,36.351,0,1402985,45.194,2.846,1.752,22604.873,202.812,7.78,24.64,2.1,58.74
Eritrea,70.775,0,0,0,3546427,44.304,3.607,2.171,1510.459,311.11,6.05,?,0.7,66.32
Estonia,1523.513,0,52.015,0,1326539,31.033,19.452,13.491,29481.252,255.569,4.02,?,4.69,78.74
Ethiopia,82.661,3.097,1.453,0.035,114963583,104.957,3.526,2.063,1729.927,182.634,7.47,7.96,0.3,66.6
Faeroe Islands,3908.728,61.394,0,0,48865,35.308,?,?,?,?,?,?,?,80.67
Falkland Islands,3732.415,0,0,0,3483,?,?,?,?,?,?,?,?,81.44
Fiji,29.003,0,0,0,896444,49.562,6.224,3.284,8702.975,412.82,14.49,?,2.3,67.44
Finland,1324.377,3.61,59.198,0,5540718,18.136,21.228,13.264,40585.721,153.507,5.76,?,3.28,81.91
France,2676.032,0,461.933,0,65273512,122.578,19.718,13.079,38605.671,86.06,4.77,?,5.98,82.66
French Polynesia,220.716,0,0,0,280904,77.324,7.775,4.593,?,?,22.63,?,?,77.66
Gabon,2837.274,0,20.667,0,2225728,7.859,4.45,2.976,16562.413,259.967,7.2,?,6.3,66.47
Gambia,38.483,0,1.655,0,2416664,207.566,2.339,1.417,1561.767,331.43,1.91,7.876,1.1,62.05
Georgia,257.697,0,3.76,0,3989175,65.032,14.864,10.244,9745.079,496.218,7.11,?,2.6,73.77
Germany,2408.851,2.972,108.446,0.024,83783945,237.016,21.453,15.957,45229.245,156.139,8.31,?,8,81.33
Ghana,890.389,19.535,4.763,0.097,31072945,126.719,3.385,1.948,4227.63,298.245,4.97,41.047,0.9,64.07
Gibraltar,5342.673,0,0,0,33691,3457.1,?,?,?,?,?,?,?,79.93
Greece,384.436,2.303,18.613,0,10423056,83.479,20.396,14.524,24574.382,175.695,4.55,?,4.21,82.24
Greenland,228.986,0,0,0,56772,0.137,?,?,?,199.941,2.16,?,?,71.7
Grenada,204.41,0,0,0,112519,317.132,7.304,5.021,13593.877,243.964,10.71,?,3.7,72.4
Guam,1890.001,23.699,29.624,0,168783,304.128,9.551,5.493,?,310.496,21.52,?,?,80.07
Guatemala,2158.849,35.444,82.889,2.009,17915567,157.834,4.694,3.016,7423.808,155.898,10.18,76.665,0.6,74.3
Guernsey,3758.277,0,193.879,0,67052,?,?,?,?,?,?,?,?,
Guinea,498.295,4.036,2.97,0,13132792,51.755,3.135,1.733,1998.926,336.717,2.42,17.45,0.3,61.6
Guinea-Bissau,979.168,0,13.211,0,1967998,66.191,3.002,1.565,1548.675,382.474,2.42,6.403,?,58.32
Guyana,427.177,11.442,24.156,0,786559,3.952,5.305,2.837,7435.047,373.159,11.62,77.159,1.6,69.91
Haiti,618.547,0,12.804,0,11402533,398.448,4.8,2.954,1653.173,430.548,6.65,22.863,0.7,64
Honduras,3416.087,105.204,90.867,0.909,9904608,82.805,4.652,2.883,4541.795,240.208,7.21,84.169,0.7,75.27
Hungary,448.534,1.863,61.695,0,9660350,108.043,18.577,11.976,26777.561,278.296,7.55,?,7.02,76.88
Iceland,5655.678,23.443,29.304,0,341250,3.404,14.431,9.207,46482.958,117.992,5.31,?,2.91,82.99
India,810.174,29.293,19.925,0.493,1380004385,450.419,5.989,3.414,6426.674,282.28,10.39,59.55,0.53,69.66
Indonesia,316.32,5.992,15.147,0.464,273523621,145.725,5.319,3.053,11188.744,342.864,6.32,64.204,1.04,71.72
Iran,3259.654,25.978,168.919,2.488,83992953,49.831,5.44,3.182,19082.62,270.308,9.59,?,1.5,76.68
Iraq,2300.454,57.431,94.002,2.238,40222503,88.125,3.186,1.957,15663.986,218.612,8.83,94.576,1.4,70.6
Ireland,5216.902,2.025,355.017,0,4937796,69.874,13.928,8.678,67335.293,126.459,3.28,?,2.96,82.3
Isle of Man,3951.454,0,282.247,0,85032,147.872,?,?,?,?,?,?,?,81.4
Israel,5810.035,106.752,47.253,0.924,8655541,402.606,11.733,7.359,33132.32,93.32,6.74,?,2.99,82.97
Italy,4042.782,3.606,579.622,0.05,60461828,205.859,23.021,16.24,35220.084,113.151,4.78,?,3.18,83.51
Jamaica,266.787,5.403,3.377,0,2961161,266.879,9.684,6.39,8193.571,206.537,11.28,66.425,1.7,74.47
Japan,198.424,3.59,7.788,0,126476458,347.778,27.049,18.493,39002.223,79.37,5.72,?,13.05,84.63
Jersey,3274.861,0,306.709,0,101073,?,?,?,?,?,?,?,?,
Jordan,119.375,0.392,1.078,0,10203140,109.285,3.81,2.361,8337.49,208.257,11.75,?,1.4,74.53
Kazakhstan,3825.91,79.833,19.972,0,18776707,6.681,6.991,4.625,24055.588,466.792,7.11,98.999,6.7,73.6
Kenya,248.329,11.214,4.352,0.167,53771300,87.324,2.686,1.528,2993.028,218.637,2.92,24.651,1.4,66.7
Kosovo,2967.238,61.052,69.848,2.587,1932774,168.155,?,?,9795.834,?,?,?,?,
Kuwait,13863.278,70.248,95.538,0.234,4270563,232.128,2.345,1.114,65530.537,132.235,15.84,?,2,75.49
Kyrgyzstan,4160.363,93.651,158.947,5.211,6524191,32.333,4.489,2.882,3393.474,436.362,7.11,89.22,4.5,71.45
Laos,2.611,0,0,0,7275556,29.715,4.029,2.322,6397.36,368.111,4,49.839,1.5,67.92
Latvia,631.958,1.59,16.435,0,1886202,31.212,19.754,14.136,25063.846,350.06,4.91,?,5.57,75.29
Lebanon,418.874,12.307,5.86,0,6825442,594.561,8.514,5.43,13367.565,266.591,12.71,?,2.9,78.93
Lesotho,167.581,0,2.801,0,2142252,73.562,4.506,2.647,2851.153,405.126,3.94,2.117,?,54.33
Liberia,215.712,0.593,13.84,0,5057677,49.127,3.057,1.756,752.788,272.509,2.42,1.188,0.8,64.1
Libya,271.565,10.915,6.986,0,6871287,3.623,4.424,2.816,17881.509,341.862,10.43,?,3.7,72.91
Liechtenstein,2281.249,26.221,26.221,0,38137,237.012,?,?,?,?,7.77,?,2.397,82.49
Lithuania,709.696,6.245,29.387,0,2722291,45.135,19.002,13.778,29524.265,342.989,3.67,?,6.56,75.93
Luxembourg,8759.122,118.215,177.323,0,625976,231.447,14.312,9.842,94277.965,128.275,4.42,?,4.51,82.25
Macedonia,4383.262,59.039,202.555,3.84,2083380,82.6,13.26,8.16,13111.214,322.688,10.08,?,4.28,75.8
Madagascar,254.559,7.223,2.131,0.144,27691019,43.951,2.929,1.686,1416.44,405.994,3.94,50.54,0.2,67.04
Malawi,156.404,4.443,3.241,0.157,19129955,197.519,2.979,1.783,1095.042,227.349,3.94,8.704,1.3,64.26
Malaysia,271.241,0.463,3.8,0.031,32365998,96.254,6.293,3.407,26808.164,260.942,16.74,?,1.9,76.16
Maldives,5487.085,66.6,27.75,0,540542,1454.433,4.12,2.875,15183.616,164.905,9.19,95.803,?,78.92
Mali,122.217,0.148,5.975,0,20250834,15.196,2.519,1.486,2014.306,268.024,2.42,52.232,0.1,59.31
Malta,1531.009,4.53,20.383,0,441539,1454.037,19.426,11.324,36513.323,168.711,8.83,?,4.485,82.53
Mauritania,1263.103,91.835,33.336,1.29,4649660,4.289,3.138,1.792,3597.633,232.347,2.42,15.95,?,64.92
Mauritius,269.703,0,7.863,0,1271767,622.962,10.945,5.884,20292.745,224.644,22.02,?,3.4,74.99
Mexico,2669.795,41.192,303.91,2.296,128932753,66.444,6.857,4.321,17336.469,152.783,13.06,87.847,1.38,75.05
Moldova,5200.841,46.109,169.56,0.992,4033963,123.655,10.864,6.955,5189.972,408.502,5.72,86.979,5.8,71.9
Monaco,2777.495,0,127.408,0,39244,19347.5,?,?,?,?,5.46,?,13.8,86.75
Mongolia,87.546,0,0,0,3278292,1.98,4.031,2.421,11840.846,460.043,4.82,71.18,7,69.87
Montenegro,2819.785,170.365,47.766,3.184,628062,46.28,14.762,9.395,16409.288,387.305,10.08,?,3.861,76.88
Montserrat,2400.48,0,200.04,0,4999,?,?,?,?,?,?,?,?,74.16
Morocco,466.967,5.987,7.396,0.108,36910558,80.08,6.769,4.209,7485.013,419.146,7.14,?,1.1,76.68
Mozambique,47.704,1.792,0.32,0,31255435,37.728,3.158,1.87,1136.103,329.942,3.3,12.227,0.7,60.85
Myanmar,6.267,0,0.11,0,54409794,81.721,5.732,3.12,5591.597,202.104,4.61,79.287,0.9,67.13
Namibia,490.768,17.317,1.181,0.394,2540916,3.078,3.552,2.085,9541.808,243.811,3.94,44.6,?,63.71
Nepal,606.038,5.354,1.373,0,29136808,204.43,5.809,3.212,2442.804,260.797,7.26,47.782,0.3,70.78
Netherlands,3015.488,8.404,357.692,0,17134873,508.544,18.779,11.881,48472.545,109.361,5.29,?,3.32,82.28
New Caledonia,77.06,0,0,0,285491,15.342,9.954,6.489,?,?,23.36,?,?,77.55
New Zealand,249.677,0.207,4.562,0,4822233,18.206,15.322,9.72,36085.843,128.797,8.08,?,2.61,82.29
Nicaragua,475.051,0,14.944,0,6624554,51.667,5.445,3.519,5321.444,137.016,11.47,?,0.9,74.48
Niger,45.607,0,2.85,0,24206636,16.955,2.553,1.378,926,238.339,2.42,8.978,0.3,62.42
Nigeria,177.855,2.697,3.828,0.053,206139587,209.588,2.751,1.447,5338.454,181.013,2.42,41.949,?,54.69
Northern Mariana Islands,642.841,0,34.748,0,57557,119.878,?,?,?,194.994,?,?,?,76.74
Norway,1662.903,0,47.037,0,5421242,14.462,16.821,10.813,64800.057,114.316,5.31,?,3.6,82.4
Oman,13053.835,226.569,62.272,1.958,5106622,14.98,2.355,1.53,37960.709,266.342,12.61,97.4,1.6,77.86
Pakistan,1200.055,7.184,25.347,0.14,220892331,255.573,4.495,2.78,5034.708,423.031,8.35,59.607,0.6,67.27
Palestine,1970.433,91.151,12.153,0.784,5101416,778.202,3.043,1.726,4449.898,265.91,10.59,?,?,74.05
Panama,12391.86,279.737,254.011,5.794,4314768,55.133,7.918,5.03,22267.037,128.346,8.33,?,2.3,78.51
Papua New Guinea,1.9,0.224,0,0,8947027,18.22,3.808,2.142,3823.194,561.494,17.65,?,?,64.5
Paraguay,521.694,12.899,4.346,0.28,7132530,17.144,6.378,3.833,8827.01,199.128,8.27,79.602,1.3,74.25
Peru,10723.998,124.045,399.947,5.732,32971846,25.129,7.151,4.455,12236.706,85.755,5.95,?,1.6,76.74
Philippines,615.581,19.638,16.709,0.529,109581085,351.873,4.803,2.661,7599.188,370.437,7.07,78.463,1,71.23
Poland,1059.646,9.459,42.91,0.159,37846605,124.027,16.763,10.202,27216.445,227.331,5.91,?,6.62,78.73
Portugal,4769.775,24.125,165.642,0.49,10196707,112.371,21.502,14.924,27936.896,127.842,9.85,?,3.39,82.05
Puerto Rico,4216.594,213.224,62.219,0,2860840,376.232,15.168,9.829,35044.67,108.094,12.9,?,?,80.1
Qatar,37016.931,118.012,54.494,1.041,2881060,227.322,1.307,0.617,116935.6,176.69,16.52,?,1.2,80.23
Romania,1947.116,39.87,105.314,0.884,19237682,85.129,17.85,11.69,23313.199,370.946,9.74,?,6.892,76.05
Russia,5286.935,0,84.572,0,145934460,8.823,14.178,9.393,24765.954,431.297,6.18,?,8.05,72.58
Rwanda,122.141,3.32,0.386,0,12952209,494.869,2.974,1.642,1854.211,191.375,4.28,4.617,?,69.02
Saint Kitts and Nevis,319.597,0,0,0,53192,212.865,?,?,24654.385,?,12.84,?,2.3,76.23
Saint Lucia,125.253,0,0,0,183629,293.187,9.721,6.405,12951.839,204.62,11.62,87.202,1.3,76.2
Saint Vincent and the Grenadines,450.666,54.08,0,0,110947,281.787,7.724,4.832,10727.146,252.675,11.62,?,2.6,72.53
San Marino,21038.364,0,1237.551,0,33938,556.667,?,?,56861.47,?,5.64,?,3.8,84.97
Sao Tome and Principe,3403.89,13.689,63.88,0,219161,212.841,2.886,2.162,3052.714,270.113,2.42,41.34,2.9,70.39
Saudi Arabia,7207.473,71.925,71.408,1.12,34813867,15.322,3.295,1.845,49045.411,259.538,17.72,?,2.7,75.13
Senegal,526.161,8.421,9.974,0.239,16743930,82.328,3.008,1.796,2470.58,241.219,2.42,20.859,?,67.94
Serbia,3070.572,58.196,69.365,1.617,6804596,80.291,17.366,?,14048.881,439.415,10.08,97.719,5.609,76
Seychelles,1016.88,0,0,0,98340,208.354,8.606,5.586,26382.287,242.648,10.55,?,3.6,73.4
Sierra Leone,214.492,1.254,8.148,0,7976985,104.7,2.538,1.285,1390.3,325.721,2.42,19.275,?,54.7
Singapore,8189.605,43.929,4.615,0,5850343,7915.731,12.922,7.049,85535.383,92.243,10.99,?,2.4,83.62
Sint Maarten (Dutch part),1842.265,0,349.797,0,42882,1209.088,?,?,36327.232,?,?,?,?,78.95
Slovakia,362.478,0.549,5.129,0,5459643,113.128,15.07,9.167,30155.152,287.959,7.29,?,5.82,77.54
Slovenia,936.058,2.886,53.393,0,2078932,102.619,19.062,12.93,31400.84,153.493,7.25,?,4.5,81.32
Somalia,196.247,0.503,5.852,0,15893219,23.5,2.731,1.496,?,365.769,6.05,9.831,0.9,57.4
South Africa,6142.911,226.763,84.861,1.433,59308690,46.754,5.344,3.053,12294.876,200.38,5.52,43.993,2.32,64.13
South Korea,268.602,0.507,5.773,0.02,51269183,527.967,13.914,8.622,35938.374,85.998,6.8,?,12.27,83.03
South Sudan,196.539,0.804,3.841,0,11193729,?,3.441,2.032,1569.888,280.775,10.43,?,?,57.85
Sri Lanka,127.211,0.934,0.514,0,21413250,341.955,10.069,5.331,11669.077,197.093,10.68,?,3.6,76.98
Sudan,245.432,1.824,15.508,0.16,43849269,23.258,3.548,2.034,4466.507,431.388,15.67,23.437,0.8,65.31
Suriname,1754.075,47.73,35.797,1.705,586634,3.612,6.933,4.229,13767.119,258.314,12.54,67.779,3.1,71.68
Swaziland,1545.471,55.165,18.101,0,1160164,79.492,3.163,1.845,7738.975,333.436,3.94,24.097,2.1,60.19
Sweden,7652.137,0,556.377,0,10099270,24.718,19.985,13.433,46949.283,133.982,4.79,?,2.22,82.8
Switzerland,3871.228,11.323,194.925,0,8654618,214.243,18.436,12.644,57410.166,99.739,5.59,?,4.53,83.78
Syria,28.342,0,1.429,0,17500657,?,?,2.577,?,376.264,?,70.598,1.5,72.7
