Country,CovidDeaths,Over65percnt,HospitalBeds,GINI,Obesity rate,Latitude,Percentage of foreign population,Percentage not in their country
Dominican Republic,50.701,7.08281747649721,1.7,45.7,27.8,18.735693,0.2,3.9
Ecuador,210.848,7.15728972666108,1.6,44.7,19.9,-1.831239,0.2,2.2
Egypt,13.114,5.22977934620923,0.5,31.8,32,26.820553,0.2,0.4
El Salvador,9.867,8.28709000480629,1,38,24.6,13.794185,0.1,0.6
Estonia,52.015,19.6263568469749,5.3,32.7,21.2,58.595272,0.1,16.4
Ethiopia,0.304,3.50113299760986,6.3,35,4.5,9.145,0.3,0.8
Fiji,0,5.44968041263952,2.3,36.7,30.2,-16.578193,0.1,2.5
Finland,58.476,21.7207875455222,5.5,27.1,22.2,61.92411,0.2,5.4
France,449.171,20.0346247469881,6.6,32.7,21.6,46.227638,3.1,11.1
Gabon,9.884,3.56390746835592,?,38,15,-0.803689,0.2,23.6
Georgia,3.259,14.8654914310525,2.8,37.9,21.7,42.315407,0.1,4.4
Germany,104.495,21.4619619953309,8.2,31.7,22.3,51.165691,4.9,14.9
Ghana,1.545,3.06889800693396,0.9,43.5,10.9,7.946527,0.2,1.4
Greece,17.557,21.6552720778435,4.5,36,24.9,39.074208,0.6,11.1
Guatemala,17.638,4.81207250828785,0.6,48.3,21.2,15.783471,0.1,0.5
Guinea,1.751,2.92602244847935,0.3,33.7,7.7,9.945587,0.2,3.2
Guinea-Bissau,6.098,2.82371633615269,?,50.7,9.5,11.803749,0.1,1.1
Guyana,15.256,6.45027124309697,?,44.6,20.2,4.860416,0.1,1.7
Haiti,5.087,4.94940384843253,?,41.1,22.7,18.971187,0.1,0.4
Honduras,29.279,4.69061765907812,0.7,50.5,21.4,15.199999,0.1,0.4
Hungary,57.037,19.1577253832321,7.2,30.4,26.4,47.162494,0.3,4.7
Iceland,29.304,14.7950925565689,3.3,27.8,21.9,64.963051,0.1,10.7
India,5.871,6.17995564947149,0.7,35.7,3.9,20.593684,2.3,0.4
Indonesia,7.162,5.85716561272863,?,38.1,6.9,-0.789275,0.2,0.1
Iran,101.27,6.18457380562499,1.7,40,25.8,32.427908,1.1,3.4
Iraq,10.591,3.32359966279505,1.3,29.5,30.4,33.223191,0.1,0.3
Ireland,343.271,13.8658017012923,2.9,31.8,25.3,53.41291,0.3,15.9
